0,0,Mister,0.03,0.08,0.05
0,1,quilter,0.08,1.02,0.94
0,2,is,1.02,1.04,0.02
0,3,the,1.04,1.05,0.01
0,4,Apostle,1.05,2.01,0.96
0,5,of,2.01,2.02,0.01
0,6,the,2.02,2.04,0.02
0,7,middle,2.04,2.06,0.02
0,8,classes,2.06,3.01,0.95
0,9,and,3.01,3.05,0.04
0,10,we,3.05,3.06,0.01
0,11,are,3.06,3.07,0.01
0,12,glad,3.07,3.08,0.01
0,13,to,3.08,4.02,0.94
0,14,welcome,4.02,4.03,0.01
0,15,his,4.03,4.08,0.05
0,16,gospel,4.08,5.03,0.95
1,0,nor,0.03,0.08,0.05
1,1,is,0.08,1.01,0.93
1,2,mr.,1.01,1.04,0.03
1,3,Quilters,1.04,1.08,0.04
1,4,matter,1.08,2.02,0.94
1,5,less,2.02,2.06,0.04
1,6,interesting,2.06,3.03,0.97
1,7,than,3.03,3.04,0.01
1,8,his,3.04,3.08,0.04
1,9,matter,3.08,4.03,0.95
2,0,he,0.03,0.07,0.04
2,1,tells,0.07,1.0,0.93
2,2,us,1.0,1.01,0.01
2,3,that,1.01,1.05,0.04
2,4,at,1.05,1.08,0.03
2,5,this,1.08,2.0,0.92
2,6,festive,2.0,2.05,0.05
2,7,season,2.05,2.06,0.01
2,8,of,2.06,3.02,0.96
2,9,the,3.02,3.04,0.02
2,10,year,3.04,3.04,0.0
2,11,with,3.04,4.04,1.0
2,12,Christmas,4.04,5.0,0.96
2,13,and,5.0,5.02,0.02
2,14,a,5.02,5.02,0.0
2,15,roast,5.02,5.05,0.03
2,16,beef,5.05,5.09,0.04
2,17,looming,5.09,6.03,0.94
2,18,before,6.03,6.04,0.01
2,19,us,6.04,6.09,0.05
2,20,similes,6.09,8.03,1.94
2,21,drawn,8.03,8.06,0.03
2,22,from,8.06,8.08,0.02
2,23,eating,8.08,9.02,0.94
2,24,and,9.02,9.04,0.02
2,25,its,9.04,9.06,0.02
2,26,results,9.06,10.01,0.95
2,27,of,10.01,10.03,0.02
2,28,her,10.03,10.05,0.02
2,29,most,10.05,10.07,0.02
2,30,readily,10.07,11.03,0.96
2,31,to,11.03,11.04,0.01
2,32,the,11.04,11.06,0.02
2,33,mine,11.06,11.09,0.03
3,0,he,0.0,0.07,0.07
3,1,has,0.07,0.09,0.02
3,2,Grave,0.09,1.02,0.93
3,3,doubts,1.02,1.07,0.05
3,4,whether,1.07,2.0,0.93
3,5,Sir,2.0,2.04,0.04
3,6,Frederic,2.04,2.08,0.04
3,7,Leighton,2.08,2.09,0.01
3,8,work,2.09,3.06,0.97
3,9,is,3.06,3.08,0.02
3,10,Riddick,3.08,4.02,0.94
3,11,Greek,4.02,4.08,0.06
3,12,after,4.08,5.02,0.94
3,13,all,5.02,5.05,0.03
3,14,and,5.05,6.03,0.98
3,15,can,6.03,6.05,0.02
3,16,discover,6.05,6.09,0.04
3,17,in,6.09,7.02,0.93
3,18,it,7.02,7.03,0.01
3,19,but,7.03,7.05,0.02
3,20,little,7.05,7.09,0.04
3,21,of,7.09,8.0,0.91
3,22,Rocky,8.0,8.08,0.08
3,23,Ithaca,8.08,9.0,0.92
4,0,lynelle's,0.03,1.01,0.98
4,1,pictures,1.01,1.07,0.06
4,2,are,1.07,2.0,0.93
4,3,a,2.0,2.02,0.02
4,4,sort,2.02,2.04,0.02
4,5,of,2.04,2.05,0.01
4,6,up,2.05,3.02,0.97
4,7,guards,3.02,3.06,0.04
4,8,and,3.06,3.08,0.02
4,9,Adam,3.08,4.01,0.93
4,10,paintings,4.01,4.09,0.08
4,11,and,4.09,5.05,0.96
4,12,Mason's,5.05,6.0,0.95
4,13,Exquisite,6.0,6.08,0.08
4,14,Italo's,6.08,7.02,0.94
4,15,are,7.02,7.05,0.03
4,16,as,7.05,7.07,0.02
4,17,National,7.07,8.06,0.99
4,18,as,8.06,8.08,0.02
4,19,a,8.08,8.08,0.0
4,20,June,8.08,9.01,0.93
4,21,go,9.01,9.03,0.02
4,22,poem,9.03,9.08,0.05
5,0,it,0.03,0.07,0.04
5,1,is,0.07,0.09,0.02
5,2,obviously,0.09,1.04,0.95
5,3,unnecessary,1.04,2.04,1.0
5,4,for,2.04,2.06,0.02
5,5,us,2.06,2.08,0.02
5,6,to,2.08,3.0,0.92
5,7,point,3.0,3.03,0.03
5,8,out,3.03,3.05,0.02
5,9,how,3.05,3.07,0.02
5,10,luminous,3.07,4.04,0.97
5,11,these,4.04,4.07,0.03
5,12,criticisms,4.07,5.01,0.94
5,13,are,5.01,5.07,0.06
5,14,how,5.07,6.06,0.99
5,15,delicate,6.06,7.05,0.99
5,16,and,7.05,7.06,0.01
5,17,expression,7.06,8.04,0.98
6,0,on,0.03,0.07,0.04
6,1,the,0.07,0.08,0.01
6,2,general,0.08,1.02,0.94
6,3,principles,1.02,1.08,0.06
6,4,of,1.08,1.09,0.01
6,5,art,1.09,2.01,0.92
6,6,in,2.01,2.04,0.03
6,7,Mystic,2.04,2.06,0.02
6,8,realtor,2.06,3.0,0.94
6,9,writes,3.0,3.06,0.06
6,10,with,3.06,3.08,0.02
6,11,equal,3.08,4.02,0.94
6,12,lucidity,4.02,4.08,0.06
7,0,painting,0.03,1.0,0.97
7,1,he,1.0,1.02,0.02
7,2,tells,1.02,1.05,0.03
7,3,us,1.05,1.06,0.01
7,4,is,1.06,2.0,0.94
7,5,of,2.0,2.07,0.07
7,6,a,2.07,2.08,0.01
7,7,different,2.08,3.0,0.92
7,8,quality,3.0,3.07,0.07
7,9,to,3.07,3.09,0.02
7,10,mathematics,3.09,4.06,0.97
7,11,and,4.06,5.05,0.99
7,12,finish,5.05,5.09,0.04
7,13,in,5.09,6.02,0.93
7,14,art,6.02,6.06,0.04
7,15,is,6.06,7.0,0.94
7,16,adding,7.0,7.09,0.09
7,17,more,7.09,8.01,0.92
7,18,fact,8.01,8.08,0.07
8,0,as,0.03,0.08,0.05
8,1,for,0.08,1.0,0.92
8,2,etchings,1.0,1.05,0.05
8,3,there,1.05,1.08,0.03
8,4,are,1.08,2.0,0.92
8,5,two,2.0,2.03,0.03
8,6,kinds,2.03,2.06,0.03
8,7,British,2.06,3.06,1.0
8,8,and,3.06,4.02,0.96
8,9,foreign,4.02,4.04,0.02
9,0,she,0.03,0.08,0.05
9,1,laments,0.08,1.03,0.95
9,2,most,1.03,1.07,0.04
9,3,bitterly,1.07,2.02,0.95
9,4,the,2.02,2.04,0.02
9,5,divorce,2.04,2.09,0.05
9,6,that,2.09,3.0,0.91
9,7,has,3.0,3.02,0.02
9,8,been,3.02,3.05,0.03
9,9,made,3.05,3.06,0.01
9,10,between,3.06,4.0,0.94
9,11,decorative,4.0,4.07,0.07
9,12,art,4.07,5.02,0.95
9,13,and,5.02,5.06,0.04
9,14,what,5.06,6.05,0.99
9,15,we,6.05,6.06,0.01
9,16,usually,6.06,7.0,0.94
9,17,call,7.0,7.03,0.03
9,18,pictures,7.03,8.01,0.98
9,19,makes,8.01,9.02,1.01
9,20,a,9.02,9.03,0.01
9,21,customary,9.03,9.07,0.04
9,22,appeal,9.07,10.05,0.98
9,23,to,10.05,10.07,0.02
9,24,the,10.07,10.08,0.01
9,25,last,10.08,11.01,0.93
9,26,judgment,11.01,11.07,0.06
9,27,and,11.07,11.08,0.01
9,28,reminds,11.08,12.04,0.96
9,29,us,12.04,12.06,0.02
9,30,that,12.06,12.07,0.01
9,31,in,12.07,13.01,0.94
9,32,the,13.01,13.02,0.01
9,33,great,13.02,13.05,0.03
9,34,days,13.05,13.09,0.04
9,35,of,13.09,14.01,0.92
9,36,art,14.01,14.05,0.04
9,37,Michelangelo,14.05,14.08,0.03
9,38,was,14.08,15.08,1.0
9,39,the,15.08,16.01,0.93
9,40,Furnishing,16.01,17.0,0.99
9,41,upholsterer,17.0,17.08,0.08
10,0,you're,0.0,0.04,0.04
10,1,the,0.04,0.05,0.01
10,2,fire,0.05,0.08,0.03
10,3,and,0.08,1.01,0.93
10,4,the,1.01,1.08,0.07
10,5,ornaments,1.08,2.04,0.96
10,6,Fred,2.04,2.08,0.04
10,7,brought,2.08,3.01,0.93
